id,name,supermarket,zip_code,price,url,category
25866114,Dulce de leche Chimbote,mercadona.es,28020,2.75,https://tienda.mercadona.es/product/10286/dulce-leche-chimbote-tarro,azucar_caramelos_y_chocolate|chocolate
25866014,Caramelos jengibre y própolis Hacendado 0% azúcares,mercadona.es,28020,1.35,https://tienda.mercadona.es/product/65143/caramelos-jengibre-propolis-hacendado-0-azucares-paquete,azucar_caramelos_y_chocolate|chicles_y_caramelos
25859024,Licor de mora Rives sin alcohol 70 cl.,carrefour.es,28020,4.75,https://www.carrefour.es/supermercado/licor-de-mora-rives-sin-alcohol-70-cl/R-520663066/p,bebidas|licores_y_cremas|licores_sin_alcohol
25859842,Jabón de manos avena Carrefour 500 ml.,carrefour.es,28020,1.3,https://www.carrefour.es/supermercado/jabon-de-manos-avena-carrefour-500-ml/R-fprod1340020/p,perfumeria_e_higiene|bano_e_higiene_corporal|jabon_de_manos
25868083,Maquinilla de afeitar recargable Precision System 3 Deliplus 3 hojas,mercadona.es,28020,3.4,https://tienda.mercadona.es/product/22083/maquinilla-afeitar-recargable-precision-system-3-deliplus-3-hojas-caja,cuidado_facial_y_corporal|afeitado_y_cuidado_para_hombre
25866216,Leche de continuación en polvo 2 Hero baby,mercadona.es,28020,8.45,https://tienda.mercadona.es/product/9423/leche-continuacion-polvo-2-hero-baby-6-meses-bote,bebe|alimentacion_infantil
25862986,AQUARIUS bebida refrescante de limón botella 50 cl,dia.es,28020,1.39,https://www.dia.es/compra-online/bebidas/bebidas-isotonicas-y-energeticas/p/61823,bebidas|bebidas_isotonicas_y_energeticas
25861508,SAIMAZA café fuerte caja 20 cápsulas,dia.es,28020,5.19,https://www.dia.es/compra-online/despensa/desayunos-y-dulces/cafe/p/245400,despensa|desayunos_y_dulces|cafe
25868445,Protegeslip normal plegado Deliplus Suave,mercadona.es,28020,1.51,https://tienda.mercadona.es/product/47386/protegeslip-normal-plegado-deliplus-suave-caja,cuidado_facial_y_corporal|higiene_intima
25869716,Máscara de pestañas Maxi Volume Deliplus negro,mercadona.es,28020,3.65,https://tienda.mercadona.es/product/73352/mascara-pestanas-maxi-volume-deliplus-negro,maquillaje|ojos
25860770,KIELE anchodinas envase 50 gr,dia.es,28020,1.99,https://www.dia.es/compra-online/frescos/pescado-y-marisco/ahumados-y-salazones/p/181667,frescos|pescado_y_marisco|ahumados_y_salazones
25868777,Preservativos sensitivo suave Durex,mercadona.es,28020,8.0,https://tienda.mercadona.es/product/77441/preservativos-sensitivo-suave-durex-caja,fitoterapia_y_parafarmacia|parafarmacia
25859484,Film transparente Albal 50 metros.,carrefour.es,28020,4.09,https://www.carrefour.es/supermercado/film-transparente-albal-50-metros/R-521034343/p,limpieza_y_hogar|conservacion_de_alimentos|film_transparente
25854701,Boniato Carrefour 1 kg aprox,carrefour.es,28020,1.99,https://www.carrefour.es/supermercado/boniato-carrefour-1-kg-aprox/R-VC4AECOMM-645288/p,productos_frescos|verduras_y_hortalizas|patatas_cebollas_y_ajos
25860858,Pimiento italiano unidad (200 gr aprox.),dia.es,28020,0.64,https://www.dia.es/compra-online/frescos/verduras-y-hortalizas/tomates-pimientos-y-pepinos/p/116,frescos|verduras_y_hortalizas|tomates_pimientos_y_pepinos
25869210,Insecticida antimosquitos eléctrico recambio líquido,mercadona.es,28020,1.9,https://tienda.mercadona.es/product/72641/insecticida-antimosquitos-electrico-recambio-liquido-bosque-verde-caja,limpieza_y_hogar|insecticida_y_ambientador
25862529,CALVE mayonesa casera frasco 430 ml,dia.es,28020,2.89,https://www.dia.es/compra-online/despensa/salsas/mayonesa-y-otras-salsas/p/220347,despensa|salsas|mayonesa_y_otras_salsas
25866949,Cereales copos de maíz Corn Flakes Hacendado 0% azúcares añadidos,mercadona.es,28020,1.5,https://tienda.mercadona.es/product/22966/cereales-copos-maiz-corn-flakes-hacendado-0-azucares-anadidos-caja,cereales_y_galletas|cereales
25868439,Compresa sin alas de incontinencia Deliplus Maxi Night,mercadona.es,28020,3.5,https://tienda.mercadona.es/product/22926/compresa-sin-alas-incontinencia-deliplus-maxi-night-paquete,cuidado_facial_y_corporal|higiene_intima
25866539,Vino tinto D.O La Mancha Fidencio crianza,mercadona.es,28020,1.65,https://tienda.mercadona.es/product/37164/vino-tinto-do-mancha-fidencio-crianza-botella,bodega|vino_tinto
25861788,DIA TEMPTATION chocolate con leche y almendras tableta 150 gr,dia.es,28020,1.15,https://www.dia.es/compra-online/despensa/desayunos-y-dulces/chocolates-y-bombones/p/82868,despensa|desayunos_y_dulces|chocolates_y_bombones
25864655,NATIVA leche de continuación 2 envase 1 lt,dia.es,28020,1.99,https://www.dia.es/compra-online/bebe/leche-para-bebes/p/285022,bebe|leche_para_bebes
